accountID,companyID,label,initialPurchaseMonth,bin_Efiles,bin_CustomerSpend,firmSize_NumPreparers,productUsage_NumLogs,firmLocation_UrbanRural,numClients,customerSupport_Flag,usedPromotion_Flag,All States,Efile,Evaluation,Federal,First State,Portal,Prior Year,Upgrade,Enterprise,UnlimitedEfile,Pre-paid E-file
86413857,66963,churned,10.0,19-31 efiles,$469-$628,1.0,7066.0,14.0,138.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
17919147,73329,churned,12.0,58-128 efiles,$629-$866,1.0,339.4,8.0,177.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
67159145,93073,churned,1.0,<= 3 efiles,<= $300,1.0,1895.6,51.0,115.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9552122,67309,churned,1.0,32-57 efiles,$371-$468,1.0,644.4,15.0,74.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89512407,23799,churned,1.0,<= 3 efiles,$1192-$1400,4.0,9.0,14.0,102.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
47164617,37136,churned,12.0,<= 3 efiles,$1999-$2988,3.0,55.0,64.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
77362197,67438,churned,6.0,<= 3 efiles,> $2988,1.0,3843.8,481.0,179.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
73197278,89743,churned,6.0,<= 3 efiles,$867-$1191,1.0,3843.8,4.0,179.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36441709,58437,churned,6.0,<= 3 efiles,> $2988,1.0,4212.8,36.0,129.4,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
17055412,83349,churned,8.0,<= 3 efiles,$867-$1191,1.0,1087.6,36.0,91.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51712545,8133,churned,1.0,58-128 efiles,$1401-$1998,1.0,3367.8,3.0,102.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
98181794,63545,churned,10.0,<= 3 efiles,$629-$866,1.0,4864.8,36.0,121.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74719570,31745,churned,9.0,<= 3 efiles,$1999-$2988,1.0,3279.0,294.0,215.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13173823,48937,churned,7.0,<= 3 efiles,> $2988,1.0,1155.8,629.0,174.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25609417,37825,churned,1.0,<= 3 efiles,> $2988,1.0,191.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75471353,83734,churned,1.0,<= 3 efiles,$629-$866,1.0,9232.8,81.0,250.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5429103,91377,churned,1.0,> 128 efiles,> $2988,1.0,222.2,69.0,112.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
82404741,86350,churned,11.0,32-57 efiles,$1999-$2988,4.0,6230.0,146.0,1698.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
88174662,47134,churned,12.0,<= 3 efiles,$867-$1191,1.0,10334.6,11.0,673.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11383727,39335,churned,5.0,11-18 efiles,$629-$866,1.0,918.4,6.0,78.2,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11769441,72373,churned,12.0,<= 3 efiles,$1192-$1400,1.0,8873.2,203.0,431.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
85784461,43659,churned,11.0,<= 3 efiles,<= $300,1.0,15352.6,7.0,578.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74213133,21553,churned,10.0,<= 3 efiles,$1999-$2988,2.0,698.0,39.0,124.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
49977041,37685,churned,1.0,<= 3 efiles,$867-$1191,1.0,8647.4,417.0,200.8,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9092847,3085,churned,1.0,<= 3 efiles,$301-$370,1.0,1812.4,69.0,98.4,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97408117,40389,churned,10.0,<= 3 efiles,$1999-$2988,1.0,184.4,15.0,83.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27509417,53831,churned,1.0,<= 3 efiles,$1401-$1998,1.0,6521.6,72.0,233.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8219006,96813,churned,1.0,<= 3 efiles,$867-$1191,1.0,1098.0,32.0,119.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8716215,41838,churned,1.0,<= 3 efiles,$301-$370,1.0,2937.2,3.0,161.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67520519,48023,churned,1.0,<= 3 efiles,$469-$628,1.0,2239.6,51.0,122.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37235431,75531,churned,10.0,11-18 efiles,$301-$370,1.0,920.8,17.0,82.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51578876,58302,churned,1.0,<= 3 efiles,$629-$866,1.0,984.2,256.0,164.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74549718,21723,churned,12.0,<= 3 efiles,$1401-$1998,1.0,4221.6,31.0,135.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
47638871,37538,churned,1.0,32-57 efiles,> $2988,2.0,2610.6,330.0,426.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45816167,33857,churned,12.0,<= 3 efiles,$1999-$2988,1.0,97.0,66.0,16.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
17934175,33776,churned,11.0,19-31 efiles,$1999-$2988,1.0,8859.4,294.0,179.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
99524661,78913,churned,1.0,<= 3 efiles,<= $300,1.0,632.0,80.0,104.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56940817,27263,churned,12.0,<= 3 efiles,> $2988,1.0,4221.6,21.0,135.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47371313,42379,churned,1.0,<= 3 efiles,$629-$866,1.0,2724.6,14.0,244.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71646413,33580,churned,1.0,58-128 efiles,$629-$866,1.0,862.0,3.0,46.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
71749472,37115,churned,1.0,19-31 efiles,$867-$1191,1.0,2052.0,945.0,29.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
83516725,30789,churned,1.0,> 128 efiles,$1401-$1998,3.0,3473.8,524.0,85.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37851601,35882,churned,1.0,<= 3 efiles,$1999-$2988,1.0,735.6,240.0,58.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27041763,79283,churned,12.0,> 128 efiles,$1999-$2988,11.0,8643.8,47.0,425.2,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
87544910,70763,churned,1.0,32-57 efiles,> $2988,1.0,786.0,14.0,55.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
69254124,88493,churned,1.0,<= 3 efiles,$1999-$2988,1.0,417.8,10.0,112.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91824667,43743,churned,12.0,<= 3 efiles,$1999-$2988,1.0,10334.6,25.0,613.4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37976011,35833,churned,1.0,<= 3 efiles,> $2988,2.0,3969.2,3.0,209.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
17437461,86803,churned,1.0,<= 3 efiles,$371-$468,1.0,8683.8,7.0,396.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
